Date,Open,High,Low,Close,Adj Close,Volume
2016-05-25,1.113697,1.117100,1.112999,1.113797,1.113797,0
2016-05-26,1.115698,1.122000,1.115698,1.115897,1.115897,0
2016-05-27,1.119294,1.120200,1.112599,1.119207,1.119207,0
2016-05-30,1.111099,1.115000,1.110001,1.111000,1.111000,0
2016-05-31,1.115001,1.117599,1.112200,1.114840,1.114840,0
2016-06-01,1.113598,1.119000,1.111704,1.113598,1.113598,0
2016-06-02,1.119294,1.122000,1.115000,1.118906,1.118906,0
2016-06-03,1.115399,1.135000,1.113800,1.115200,1.115200,0
2016-06-06,1.135100,1.138000,1.133324,1.135100,1.135100,0
2016-06-07,1.136467,1.138000,1.134005,1.136402,1.136402,0
2016-06-08,1.135654,1.142000,1.135654,1.135783,1.135783,0
2016-06-09,1.140602,1.141696,1.130800,1.140706,1.140706,0
2016-06-10,1.131196,1.132400,1.127400,1.131503,1.131503,0
2016-06-13,1.124101,1.130200,1.123697,1.124000,1.124000,0
2016-06-14,1.128796,1.129995,1.119000,1.129102,1.129102,0
2016-06-15,1.121302,1.126001,1.119094,1.121302,1.121302,0
2016-06-16,1.126126,1.130000,1.113200,1.126266,1.126266,0
2016-06-17,1.127002,1.129600,1.122600,1.125201,1.125201,0
2016-06-20,1.134906,1.138400,1.130800,1.134906,1.134906,0
2016-06-21,1.132285,1.135000,1.124400,1.132298,1.132298,0
2016-06-22,1.125201,1.133504,1.123760,1.125062,1.125062,0
2016-06-23,1.132798,1.142204,1.132000,1.132824,1.132824,0
2016-06-24,1.133003,1.133517,1.091906,1.132400,1.132400,0
2016-06-27,1.103497,1.108193,1.097400,1.103594,1.103594,0
2016-06-28,1.101601,1.111000,1.101601,1.101503,1.101503,0
2016-06-29,1.107800,1.112805,1.105156,1.107395,1.107395,0
2016-06-30,1.112595,1.115400,1.105400,1.112805,1.112805,0
2016-07-01,1.110371,1.117000,1.107400,1.110605,1.110605,0
2016-07-04,1.113102,1.115000,1.110000,1.113102,1.113102,0
2016-07-05,1.114554,1.118001,1.107600,1.114604,1.114604,0
2016-07-06,1.106439,1.109000,1.103400,1.106501,1.106501,0
2016-07-07,1.110001,1.110800,1.105800,1.109903,1.109903,0
2016-07-08,1.106501,1.110800,1.101000,1.106574,1.106574,0
2016-07-11,1.104704,1.107200,1.102000,1.104399,1.104399,0
2016-07-12,1.105803,1.112400,1.105400,1.105803,1.105803,0
2016-07-13,1.106072,1.111999,1.104400,1.106293,1.106293,0
2016-07-14,1.109595,1.117000,1.109200,1.109496,1.109496,0
2016-07-15,1.110642,1.115700,1.105877,1.110605,1.110605,0
2016-07-18,1.105534,1.109000,1.103826,1.105314,1.105314,0
2016-07-19,1.107138,1.108070,1.100200,1.107187,1.107187,0
2016-07-20,1.101455,1.103000,1.098400,1.101358,1.101358,0
2016-07-21,1.101734,1.105800,1.098601,1.101953,1.101953,0
2016-07-22,1.103314,1.104000,1.096800,1.103290,1.103290,0
2016-07-25,1.096924,1.099800,1.095362,1.097045,1.097045,0
2016-07-26,1.098986,1.102400,1.098000,1.099118,1.099118,0
2016-07-27,1.098804,1.101000,1.098286,1.098780,1.098780,0
2016-07-28,1.106819,1.111999,1.106085,1.107346,1.107346,0
2016-07-29,1.108365,1.119600,1.107400,1.108438,1.108438,0
2016-08-01,1.116782,1.118401,1.115600,1.116807,1.116807,0
2016-08-02,1.116707,1.123200,1.116358,1.116807,1.116807,0
2016-08-03,1.121856,1.122000,1.116400,1.121906,1.121906,0
2016-08-04,1.115237,1.115561,1.111778,1.115150,1.115150,0
2016-08-05,1.113449,1.116146,1.104911,1.113474,1.113474,0
